X,Y,id,vertex_index,vertex_part,vertex_part_index,distance,angle
126.6504386,37.45132298,1,0,0,0,0,290.5089282
126.6502993,37.45137511,1,1,0,1,0.000148775,288.5001289
126.6502361,37.45139381,1,2,0,2,0.000214668,277.179169
126.6501786,37.45139167,1,3,0,3,0.00027223,261.6190229
126.6501165,37.45137546,1,4,0,4,0.000336401,250.9269349
126.6500275,37.45133676,1,5,0,5,0.000433385,247.1607156
126.6497519,37.45122448,1,6,0,6,0.000731042,244.1826013
126.6495231,37.45109517,1,7,0,7,0.000993869,234.8504263
126.6492464,37.4508561,1,8,0,8,0.001359541,229.1742488
